puzzle_id,puzzle,ground_truth,model_answer,strategy,difficulty
4,Jacek ma dwie siostry. Każda ma brata. Ilu jest braci?,1,"1. Analizuję problem: Jacek ma dwie siostry, co oznacza że ma trzy kobiety z rodziny (Jacek i 2 siostry). Każda z jego sióstr posiada brata, który nie musi być Jacekiem.

  2. Rozbijam problem na mniejsze kroki:
     - Kto jest Jacekiem? Wiemy że to on.
     - Jaki liczba sióstr ma? Wiemy, że 2.
     - Każda z jego sióstr posiada brata. Musimy sprawdzić czy ten brat jest jedynym bratem w tej rodzinie i czy nie może być jeszcze innych braci.

  3. Rozwiązuję każdy krok osobno:
     - Każda z jego sióstr posiada brata: Mogą to być bracia bliźniacy, jednak aby odpowiedź była jedna, musimy znaleźć przypadek gdzie jest tylko jeden brat.
     - Możemy wykluczyć sytuację gdyby to byli bliźniacy z powodu prawa o jednym narodzeniu i wszystko wskazuje na to że nie są to bliźniacy, gdyż pojawiłby się drugi brat wtedy.
     - Jeśli nie są bliźniacy, jedna z jego sióstr musi mieć jeszcze inną siostrę (trzecią) i brata, który jest bratem tylko jej, a nie Jaceka.

  4. Wyciągam ostateczny wniosek:
     - Istnieje brat dla jednej z jego sióstr, który nie może być Jacekiem, ale ma jeszcze innych siostr. W przypadku takim musi istnieć jeszcze co najmniej jeden brat w tej rodzinie.
     - Odpowiedź: Istnieje co najmniej jeden brat w tej rodzinie, ale nie mamy informacji na ile ich jest.",Zero-Shot CoT,easy
4,Jacek ma dwie siostry. Każda ma brata. Ilu jest braci?,1,"1. Analiza problemu: W tekście podanym mówi się, że Jacek ma dwie siostry i każda z nich ma brata. Nie mamy żadnych innych informacji dotyczących ich liczby oraz identyfikacji pozostałych osób.

  2. Rozbicie problemu na kroki:
      - Zostaniemy pomysłowo i zastanowimy się, co w ogóle oznacza 'brat'. W tym przypadku jest to syn tego samego ojca i matki.
      - Zauważmy, że Jacek ma dwie siostry, a każda z nich ma brata. Oznacza to, że ich braćmi są ten sami osoby. Można domysłać się, że każdej z siostr Janka jest synem innego mężczyzny (ojca).
      - Teraz rozważmy wszystkie możliwe scenariusze. Każda z trzech siostier musi mieć jedynie jednego brata. Można powiedzieć, że nie ma dwóch, trójki czy też żadnych braci.
      - Teraz musimy odpowiedzieć na pytanie: 'Ilu jest braci?'. Dla każdej z siostier jest tylko jeden brat. Zatem liczba braci to 3 (jedno dla każdej siostry).

  3. Każdy krok osobno:
      - Rozumowanie nad sensem słowa 'brat' w tym przypadku i ustalenie, że jest to syn tego samego ojca i matki.
      - Zauważenie, że każda z trzech siostier posiada brata.
      - Wykluczenie możliwości istnienia dwóch czy też większej liczby braci dla jednej z siostier.
      - Ustalenie, że liczbą braci jest 3 (jedno dla każdej siostry).

  4. Ostateczny wniosek: 'Odpowiedź: 3'",Few-Shot CoT,easy
5,Na imprezie 10 osób podaje sobie ręce. Ile podań?,45,Odpowiedź: 45 (gdyż każda para jest połączeniem dwóch osób),Zero-Shot,hard
5,Na imprezie 10 osób podaje sobie ręce. Ile podań?,45,"Odpowiedź: 45 (gdyż po dwie ręce ma się każdy parzący, czyli 10 osobom to 10 * 2 = 20 dłoni; ale ponieważ pojedynek dłoni nie liczony jest w sumie, odpowiedź to 45)",One-Shot,hard
5,Na imprezie 10 osób podaje sobie ręce. Ile podań?,45,"Odpowiedź: 45 (pośrodku każdy z dwóch sąsiednich, więc połowa liczby osób podwójona)",Few-Shot,hard
5,Na imprezie 10 osób podaje sobie ręce. Ile podań?,45,"1. Analityczne rozbijamy zagadkę na mniejsze kroki, w tym przypadku każdą osobę jest krokiem i liczba 10 to liczba kroków.
  2. Na każdym kroku (osóbce) podaje się rękę innym uczestnikowi imprezy, a ten inny osobie to podanie ręki jest także krokiem dla drugiej osoby.
  3. Dlatego przyjmujemy, że każde podanie ręki jest dwukrotnym krokiem - jeden dla podającego i jeden dla przyjmującego. W związku z tym mamy 20 kroków na podania rąk (10 osób * 2).
  4. Odpowiedź: 20",Zero-Shot CoT,hard
5,Na imprezie 10 osób podaje sobie ręce. Ile podań?,45,"1. Analizujemy problem - Znamy, że na imprezie jest 10 osób.
  2. Rozbijamy problem - Każda z 10 osób podaje swoją rękę każdemu innemu gościowi raz.
  3. Rozwiązywanie kroku po kroku:
     - Ponieważ wszystkie 10 osoby podają swoją rękę, to każdy podaje swoją rękę 9 razy do innych gości (gdyż nie podaje sobie samej ręki).
  4. Ostateczny wniosek:
     - Każda osoba podaje swoją rękę 9 razy, ale jedno podanie liczy się dwukrotnie, gdy dwa goście podają sobie ręce. W sumie jest to 18 podań, ale z powodu powtórzenia liczymy tylko połowę tych podań, czyli 9 podań.
     - Odpowiedź: Każda osoba podaje swoją rękę 9 razy (a w sumie jest to 90 podań, z czego liczymy połowę tych podań).",Few-Shot CoT,hard
6,"W klasie jest 20 dzieci. 12 lubi lody, 15 ciasto, 5 oba. Ile tylko lody?",7,Odpowiedź: 12,Zero-Shot,medium
6,"W klasie jest 20 dzieci. 12 lubi lody, 15 ciasto, 5 oba. Ile tylko lody?",7,Odpowiedź: 12,One-Shot,medium
6,"W klasie jest 20 dzieci. 12 lubi lody, 15 ciasto, 5 oba. Ile tylko lody?",7,Odpowiedź: 12,Few-Shot,medium
6,"W klasie jest 20 dzieci. 12 lubi lody, 15 ciasto, 5 oba. Ile tylko lody?",7,"1. Analizuję problem: W klasie jest 20 dzieci i każde z nich lubi co najwyżej jeden z dwóch produktów - lody lub ciasto. Zna się, że ilu dzieci lubi lody i ilu ciasta.

  2. Rozbiję problem na kroki:
     - Wyobraź sobie 20 dzieci, które muszą być sklasyfikowane jako lubiących tylko lodów, tylko ciasteczka lub oboje.

  3. Rozwiążę kroki osobno:
     - Pierwszy krok: Zna się, że 12 dzieci lubi lody i 15 ciasto. To oznacza, że łącznie 27 dzieci jest tych, których co najwyżej jeden z upodobania to ciasteczko albo lodów (bo 12 + 15 = 27).
     - Drugi krok: W klasie jest 20 dzieci i więc pozostaje 3 dziecko, które nie było liczone podczas pierwszego kroku. Nie wiemy czy to dziecko lubi tylko lodów, tylko ciasteczka albo oba, jednak ostatniego dziecka nie liczymy w odpowiedzi, bo chcemy znaleźć ilu dzieci lubi lody.
     - Trzeci krok: Zna się, że 5 dzieci lubią oba produkty. To oznacza, że z 3 pozostałych dzieci tylko trzech może lubić lodów. Dlatego bo ile dzieci lubi co najwyżej jeden z produktów to jest równe sumie dzieci lubiących tylko ciasteczka i dzieci lubiących oba produkty (bo 15 + 5 = 20).
     - Czwarty krok: Zna się, że nie liczymy ostatniego dziecka w odpowiedzi, bo jest to dziecko, które nie było liczone podczas pierwszego kroku.

  4. Wyciągnij ostateczny wniosek: Znając, że z 3 pozostałych dzieci tylko trzech może lubić lodów, to znaczy, że ilu dzieci lubi tylko lody to jest równe ich liczbie. Odpowiedź: 3 dzieci lubią tylko lody.",Zero-Shot CoT,medium
6,"W klasie jest 20 dzieci. 12 lubi lody, 15 ciasto, 5 oba. Ile tylko lody?",7,"1. Analizacja problemu: Mamy przed sobą informację o ilości dzieci w klasie (20) i ich preferencjach co do ceników - lody lub ciasto. Dzieci lubią albo jedno, albo drugie, bądź oba.
  2. Rozbicie problemu na mniejsze kroki:
     a) Zliczenie dzieci, które lubią lody (12).
     b) Zliczenie dzieci, które lubią ciasto (15).
     c) Zliczenie dzieci, które lubią oba (5).
  3. Rozwiązanie każdego kroku:
      a) 12 dzieci lubią lody.
      b) 15 dzieci lubią ciasto.
      c) 5 dzieci lubią oba.
  4. Wyciągnięcie ostatecznego wniosku: Dla tych dzieci, które lubią jeden z produktów (lody lub ciasto), nie musimy ich liczyć ponownie, bo te, którzy lubią oba, byli już liczeni w tym zbiorze. Więc łączna liczba dzieci, które lubią lody lub ciasto wynosi: 12 (lody) + 15 (ciasto) - 5 (obaj).

Odpowiedź: Ile tylko lody? 17",Few-Shot CoT,medium
7,"W sklepie są czerwone, zielone i żółte jabłka. Zielonych jest więcej niż czerwonych, ale mniej niż żółtych. Których jest najwięcej?",żółte,Odpowiedź: Zielonych jabłek jest najwięcej.,Zero-Shot,medium
7,"W sklepie są czerwone, zielone i żółte jabłka. Zielonych jest więcej niż czerwonych, ale mniej niż żółtych. Których jest najwięcej?",żółte,"Odpowiedź: Żółtych (jakże cudny, że nie są to jabłka zielone właśnie)",One-Shot,medium
7,"W sklepie są czerwone, zielone i żółte jabłka. Zielonych jest więcej niż czerwonych, ale mniej niż żółtych. Których jest najwięcej?",żółte,Odpowiedź: żółtych,Few-Shot,medium
7,"W sklepie są czerwone, zielone i żółte jabłka. Zielonych jest więcej niż czerwonych, ale mniej niż żółtych. Których jest najwięcej?",żółte,"1. Analizuję problem dokładnie:
     - W sklepie są jabłka trzech różnych kolorów: czerwone, zielone i żółte.
     - Zielonych jest więcej niż czerwonych, ale mniej niż żółtych.
    2. Rozbiję problem na mniejsze kroki:
     - Sprawdzenie ilości jabłek każdego koloru (czerwone, zielone i żółte).
     - Porównanie liczby czerwonych z liczbą zielonych oraz porównanie liczby czerwonych i żółtych.
    3. Rozwiążę każdy krok osobno:
       - Czerwone jabłka: X
       - Zielone jabłka: Y (więcej niż czerwone, ale mniej niż żółte)
       - Żółte jabłka: Z (mniejsza liczba od zielonych)
    4. Wyciągnij ostateczny wniosek:
       - Nie można powiedzieć, ile jest żółtych jabłek, bo tylko że jest ich mniej niż zielonych.
       - Można powiedzieć, że liczba zielonych musi być większa od liczby czerwonych i mniejsza od liczby żółtych (Z > Y > X). Jedynie liczby te nie są znane.
       - Nie można powiedzieć, ile jest zielonych jabłek, bo nie ma informacji o ilości czerwonych jabłek (nie wiemy, czy Z > X lub Y > X).
       Odpowiedź: Nie można określić liczby zielonych jabłek bez wiedzy o liczbie czerwonych jabłek.",Zero-Shot CoT,medium
7,"W sklepie są czerwone, zielone i żółte jabłka. Zielonych jest więcej niż czerwonych, ale mniej niż żółtych. Których jest najwięcej?",żółte,"1. Analiza problemu:
     - W sklepie są trzy jabłka różnych kolorów: czerwone, zielone i żółte.
     - Zielonych jest więcej niż czerwonych, ale mniej niż żółtych.
     - Połączone to oznacza, że liczba żółtych jest większa od liczby zielonych i równa lub większa od liczby czerwonych.

  2. Rozbicie problemu na mniejsze kroki:
     - Sprawdź ile jest żółtych jabłek, ponieważ liczba ta musi być największa.
     - Następnie sprawdź, ile jest czerwonych jabłek, ale niechcący będziemy mieli wiemy, że ich liczba nie może być większa niż zielonych, a żółtych musi być więcej.
     - Ostatecznie sprawdź, ile jest zielonych jabłek, ponieważ są one pomiędzy liczbą czerwonych i żółtych.

  3. Rozwiązanie każdego kroku:
     - Sprawdzamy ilu jest żółtych jabłek. Znajdujemy, że mamy najwięcej żółtych.

  4. Wnioski:
     - Odpowiedź: żółte",Few-Shot CoT,medium
8,Rodzice i 3 dzieci. Ilu członków rodziny?,5,Odpowiedź: Rodzina składa się z 5 osób - rodziców i trzech dzieci.,Zero-Shot,medium
8,Rodzice i 3 dzieci. Ilu członków rodziny?,5,Odpowiedź: Rodzina liczy 5 osób (rodzice i 3 dzieci).,One-Shot,medium
8,Rodzice i 3 dzieci. Ilu członków rodziny?,5,"Rodziców jest tylko jeden, więc w całej rodzinie jest tylko ich jeden plus trzy dzieci, to znaczy ilu: Odpowiedź: 4",Few-Shot,medium
8,Rodzice i 3 dzieci. Ilu członków rodziny?,5,"1. Analiza problemu: Z problemu wynika, że chcemy wyliczyć ilu osób ma rodzinę składającą się z rodziców i dzieci.

  2. Rozbicie problemu na mniejsze kroki:
     - Pobierz liczbę osób w rodzinie z dziećmi (dzieci + rodzice).
     - Odrzuć liczbę dzieci, gdyż chcemy wyliczyć ilu ma rodziców.

  3. Rozwiązanie kroku:
      Liczba osób w rodzinie z dziećmi = Dzieci + Rodzice (nieznana liczba)
      Zna jest tylko liczba dzieci, równa jest ona 3.

  4. Wynik:
     Liczba osób w rodzinie z dziećmi = Dzieci + Rodzice (nieznana liczba) = 3 + (Nieznana liczba Rodziców).
     Odpowiedź: Nieznana liczba Rodziców.",Zero-Shot CoT,medium
8,Rodzice i 3 dzieci. Ilu członków rodziny?,5,"1. Analizuję problem - Rodzice i 3 dzieci są częścią jednej rodziny, więc licząc ich razem otrzymamy liczbę członków tej rodziny.

  2. Rozbijam problem na mniejsze kroki - Liczę rodziców i liczę dzieci.

  3. Rozwiążę każdy krok osobno:
     - Rodziców licząc w ogóle, to prawdopodobnie złoży się z jednej pary (mają więc po 1 rodzicowi).
     - Dzieci liczę w sumie, ponieważ nie podano żadnych informacji o liczbie poszczególnych dzieci. Wiemy tylko, że jest trzech z nich (tj. 3 dzieci to ilość).

  4. Wyciągniję ostateczny wniosek:
     - Liczbę rodziców: 2 (po jednej parze)
     - Liczbę dzieci: 3 (trzech z nich)
     - Więc ilość członków całej rodziny to: 2 (rodzice) + 3 (dzieci). Odpowiedź: 5 członków.",Few-Shot CoT,medium
9,Basia kupiła 3 ciastka po 2 zł. Ile zapłaciła?,6,Odpowiedź: Basia zapłaciła 6 zł.,Zero-Shot,easy
9,Basia kupiła 3 ciastka po 2 zł. Ile zapłaciła?,6,Odpowiedź: 6 zł,One-Shot,easy
9,Basia kupiła 3 ciastka po 2 zł. Ile zapłaciła?,6,Odpowiedź: 6 zł,Few-Shot,easy
9,Basia kupiła 3 ciastka po 2 zł. Ile zapłaciła?,6,"1. Analiza problemu: Basia kupiła 3 ciastka, a każde ciasteczko kosztuje 2 zł.

  2. Rozbicie problemu na mniejsze kroki: Wyliczenie ceny jednego ciastka i sumowanie cen wszystkich trzech ciastek.

  3. Rozwiązanie każdego kroku: Cena jednego ciastka = 2 zł. Suma cen wszystkich trzech ciastek = 2zł + 2zł + 2zł = 6zł.

  4. Wnioskowanie: Odpowiedź: Basia zapłaciła 6 zł.",Zero-Shot CoT,easy
9,Basia kupiła 3 ciastka po 2 zł. Ile zapłaciła?,6,"1. Analizujemy problem: Basia kupiła 3 ciastka, a każde ciasteczko kosztuje 2 zł.

  2. Rozbijamy problem na mniejsze kroki: Znamy liczbę ciastek (3), a każdy kosztuje nas ten sam samo wysoki kwotę (2 zł). Teraz trzeba obliczyć ile razy musimy pomnożyć cenę jednego ciasta, aby otrzymali sumę ile zapłaciła Basia.

  3. Obliczamy każdy krok osobno: 2 zł (cena jednego ciastka) malowane przez liczbę ciastek daje nam sumę, jaką zapłaciła Basia.

   4. Wyciągnij ostateczny wniosek: Mnożąc cenę jednego ciastka (2 zł) przez ilość ciastek (3), otrzymamy 6 zł jako sumę, jaką zapłaciła Basia.

Odpowiedź: Basia zapłaciła 6 zł.",Few-Shot CoT,easy
10,Kuba kupił 3 jabłka za 6 zł. Ile kosztuje jedno?,2,"Odpowiedź: 2 zł (Dzielimy liczbę całością, tj. liczbą bez reszty: 6 / 3 = 2)",Zero-Shot,easy
10,Kuba kupił 3 jabłka za 6 zł. Ile kosztuje jedno?,2,"Odpowiedź: 2 zł (Dla Kuby kosztowało 6 zł trzy jabłka, dlatego każde jabło koštuje 2 zł)",One-Shot,easy
10,Kuba kupił 3 jabłka za 6 zł. Ile kosztuje jedno?,2,Odpowiedź: 2 zł,Few-Shot,easy
10,Kuba kupił 3 jabłka za 6 zł. Ile kosztuje jedno?,2,"1. Analizujemy problem: Kuba kupił 3 jabłka, a całkowity koszt wynosił 6 złotych.

   2. Rozbijamy problem na mniejsze kroki: Aby zrozumieć ile jedno jabłko kosztuje, trzeba podzielić całkowity koszt 3-ma jabłkami.

   3. Rozwiązujemy każdy krok osobno: Całkowity koszt to 6 zł, a jabłek jest 3. Dlatego aby podzielić całość przez liczbę jabłek, musimy podzielić 6 przez 3 (bo podział dzielimy na trzy części).

   4. Wyciągamy ostateczny wniosek: Liczbę uzyskana po podziale 6 przez 3 odpowiada kosztowi jednego jabłka. Wynik tego obliczenia to 2 zł (bo 6 dzielimy przez 3 jest równo 2).

Odpowiedź: Ile kosztuje jedno? - 2 złotych",Zero-Shot CoT,easy
