puzzle_id,puzzle,ground_truth,model_answer,strategy,difficulty,evaluation,is_correct
3,"Gdyby dziś było jutro, dziś byłby piątek. Jaki dziś dzień?",czwartek,Odpowiedź: poniedziałek,Few-Shot,hard,INCORRECT,True
3,"Gdyby dziś było jutro, dziś byłby piątek. Jaki dziś dzień?",czwartek,"1. Analizacja problemu:
     Ten problem dotyczy porównania dwóch okresów czasu - dzisiaj i jutro.

  2. Rozbicie problemu na mniejsze kroki:
     - Jaki jest dzień, gdyby dziś było jutro? (Następny dzień po dziś)
     - Dzisiaj co więc jest? (Dzień przed następnym dniem po dziś)

  3. Rozwiązanie każdego kroku osobno:
     - Jeżeli jutro byłby piątek, to dzisiaj musi być czwartek (bo jest dzień przed piątkiem).
     - Gdyby dzisiaj było piątek, to nie mogłoby zostać piątek jutro, bo to by był ten sam dzień. W takim wypadku ostatni dzień miałby nazwa 'piątek'.

  4. Ostateczny wniosek:
     - Dzisiaj jest czwartek (bo jutro byłoby piątek, a dzisiaj to dzień przed następnym).",Zero-Shot CoT,hard,CORRECT,True
3,"Gdyby dziś było jutro, dziś byłby piątek. Jaki dziś dzień?",czwartek,"1. Analizuję problem: Została podana zagadka dotycząca relacji między danymi czasami w tygodniu. Odpowiada na pytanie, jaki dzień jest dziś. Jeżeli było jutro piątek, to dziś musiałoby być środę.

  2. Rozbijam problem na mniejsze kroki: Rozważam wszystkie dni tygodnia (poniedziałek, wtorek, środa, czwartek, piątek i sobota) i sprawdzam, które z nich odpowiada zaświadczeniu, że jutro byłoby piątek.

  3. Rozwiązuję każdy krok osobno: Rozważam wszystkie dni tygodnia (poniedziałek, wtorek, środa, czwartek, piątek i sobota) i dla każdego z nich sprawdzam czy jest to prawda, że jeśli było jutro piątek, to dziś musiałoby być ten danym dniem.

  4. Wyciągam ostateczny wniosek: Załóżmy, że było jutro piątek. Wtedy dziś nie mógłby być wtorek (bo jutra byłby piątek, a wtorek jest przed piątkiem). Nie może być sobota (bo jutra byłby piątek, a sobota jest po piątku). Poniedziałek jest przed piątkiem i nie jest dzisiaj. Czwartek jest po wtorku i poniedziałku, nie może być go dzisiaj. Tym samym musi to być środa (bo jutra byłby piątek, a dziś musiałoby być danym dniem po wtorku, poniedziałku i czwartku).

  5. Przedstawiam ostateczną odpowiedź: Dziś jest środa.

Odpowiedź: Dziś jest środa.",Few-Shot CoT,hard,INCORRECT,True
4,Jacek ma dwie siostry. Każda ma brata. Ilu jest braci?,1,Odpowiedź: Jest 3 braci. (Ponieważ Jacek ma dwa braci i każda z jego sióstr również ma brata.),Zero-Shot,easy,INCORRECT,True
4,Jacek ma dwie siostry. Każda ma brata. Ilu jest braci?,1,"Odpowiedź: 3 (Jacek, jego brat i druga siostra mają swego brata)",One-Shot,easy,INCORRECT,True
4,Jacek ma dwie siostry. Każda ma brata. Ilu jest braci?,1,"Odpowiedź: 3 (Jacek ma dwie siostry, każda ma brata, więc mają trzy razem)",Few-Shot,easy,INCORRECT,True
4,Jacek ma dwie siostry. Każda ma brata. Ilu jest braci?,1,"1. Analiza problemu: Znajomość Janka z jego dwiema siostrami oraz każdą z nich ma brata wskazuje, że w rodzinie Janka jest co najmniej trzy osoby (Jacek i dwa bratni).
  2. Rozbiórka problemu:
      - Analizujemy liczbę rodzeństwa Janka. Jest to dwie siostry.
      - Na każdego z jego rodzeństwa ma on brata.
  3. Rozwiązanie kroków:
      - Wiemy, że w rodzinie jest co najmniej trzy osoby (Jacek i dwa bratni). Ponieważ każde z dwóch rodzeństwa Janka ma brata, nie może być ich tylko 3. Jeśli było 3 to żaden z nich nie miałby brata.
      - Więc jest tu co najmniej czwórka (Jacek, jego dwie siostry oraz dwa bratni). Jednak pojawiłoby się sprzeczność, gdyby każda z dwóch siostr miała swego brata. Wówczas miałaby ona co najmniej jednego brata a samego Janka by jeszcze musiało być.
      - Ostatecznie można założyć, że poza rodziną Janka jest inny brat i ten jest ojcem jego dwóch siostier oraz jest również bratem dla dwóch innymi rodzeństw (najpierw trzech osób w rodzinie Janka - Jacek, jego dwa siostry oraz ten brat - a później jeszcze kolejne rodzeństwo).
  4. Ostateczny wniosek:
      - Odpowiedź: W sumie jest tu sześcioro (Jacek z dwójką siostr i czwórką braci).",Zero-Shot CoT,easy,INCORRECT,True
4,Jacek ma dwie siostry. Każda ma brata. Ilu jest braci?,1,"1. Analizowanie problemu: Jacek ma dwie siostry i każda z nich ma brata. Wynika to, że istnieją co najmniej trzy osoby w rodzinie Jaczka: dwie siostry oraz jeden brat który jest ich wspólnym rodzeństwem.

  2. Rozbijanie problemu na mniejsze kroki: Aby rozwiązać zagadkę, należy wyznaczyć liczbę braci w rodzinie Jaczka. Znajomość istnienia dwóch siostr i faktu, że każda ma wspólnego brata, może nam pomóc odpowiednio rozważać relacje między nimi.

  3. Rozwiązywanie kroków: Siostry Jaczka są dwie i mają wspólnego brata. Więc znamy istnienie jednego brata w rodzinie Jaczka, który jest wspólnym rodzeństwem dla dwóch osób – siostry. W rodzinie Jaczka musi być jeszcze jedna osoba poza nimi, którą możemy uznawać za brata, bo oprócz siebie i dwóch swoich siostier Jacek nie ma innych bliskich w tym rodzinie.

  4. Ostateczny wniosek: Ilu jest braci w rodzinie Jaczka? Wynika z poprzednich kroków, że jest tylko jeden brat w rodzinie Jaczka.

Odpowiedź: Ilu jest braci w rodzinie Jaczka? 1",Few-Shot CoT,easy,CORRECT,True
5,Na imprezie 10 osób podaje sobie ręce. Ile podań?,45,Odpowiedź: 45,Zero-Shot,hard,CORRECT,True
5,Na imprezie 10 osób podaje sobie ręce. Ile podań?,45,Odpowiedź: 45 (gdyż po dwie osoby w każdej parze podają sobie ręce),One-Shot,hard,CORRECT,True
5,Na imprezie 10 osób podaje sobie ręce. Ile podań?,45,"Odpowiedź: 45 (oraz należy pamiętać, że każdy osobnik podaje swoją rękę do każdego innego - więc liczba podań równa się połowie liczby osób, podniesionej do kwadratu)",Few-Shot,hard,CORRECT,True
5,Na imprezie 10 osób podaje sobie ręce. Ile podań?,45,"1. Analiza problemu: Podanie ręki to spotkanie dłonią z drugim osobą, więc liczba podań jest liczbą par, w której każda para składa się z dwóch osób.

  2. Rozbicie problemu na kroki:
      - Oblicz liczbę osób w grupie (10 osób).
      - Oblicz liczbę par, które mogą być utworzone między tymi osobami (pomniejsz o 1 liczbę par, gdyż jedna para obejmuje dwie osoby i jest to taka sama para z odwrotną parą).

  3. Rozwiązanie kroków:
      - Liczba osób = 10 (liczba niezmieniona)
      - Liczba par = (10 * 9) / 2 (mnożenie liczby osób z liczbą osobami, które pozostają po odjęciu jednej pary i dzielenie przez 2)
         = (10 * 9) / 2 = 45 / 2 = 22,5
      - Wartość liczby par całkowita: 22

  4. Ostateczny wniosek:
     Odpowiedź: Ile podań? - 22 (nie można jednej osoby dać sobie rękę, więc liczba podań musi być cała).",Zero-Shot CoT,hard,INCORRECT,True
5,Na imprezie 10 osób podaje sobie ręce. Ile podań?,45,"1. Analiza problemu: W imprezie biorą udział 10 osób, a poszczególne osoby podają sobie ręce. Zadaniem jest wyliczenie liczby podań.

  2. Rozbicie problemu na mniejsze kroki: Każde spotkanie dwóch osób wymaga jednego podania ręki, czyli iloczyn liczby spotkań (podań) jest równy liczbie par z udziałem każdej z osób.

  3. Rozwiązanie kroku: Liczba par z udziałem osoby A, to samo z udziałem osoby B i C itd. (po 9 takich par dla każdej osoby). Dla liczby 10 osób złożona jest z 5 par (A i sam się), które nie potrzebują żadnego podania, oraz z 45 par (każda para poza 5 z poprzedniego kroku). Ostatecznie otrzymamy liczbę par jako sumę tych dwóch zbiorów:
   - 10 osób – 5 niepotrzebnych par = 5 osób * (9/2) + (10-5)*(45/2) = 25 osób * 4.5 + 30 * 22.5 = 112.5, jednak liczba par musi być całkowita, więc najbliższa całkowita wartość to 113.

  4. Ostateczny wniosek: Liczba podań podczas imprezy wynosi 113.

Odpowiedź: 113",Few-Shot CoT,hard,INCORRECT,True
6,"W klasie jest 20 dzieci. 12 lubi lody, 15 ciasto, 5 oba. Ile tylko lody?",7,Odpowiedź: 12,Zero-Shot,medium,INCORRECT,True
6,"W klasie jest 20 dzieci. 12 lubi lody, 15 ciasto, 5 oba. Ile tylko lody?",7,Odpowiedź: 12,One-Shot,medium,INCORRECT,True
6,"W klasie jest 20 dzieci. 12 lubi lody, 15 ciasto, 5 oba. Ile tylko lody?",7,Odpowiedź: 12,Few-Shot,medium,INCORRECT,True
6,"W klasie jest 20 dzieci. 12 lubi lody, 15 ciasto, 5 oba. Ile tylko lody?",7,"1. Analizujemy problem: 20 dzieci w klasie. Dla każdej z nich mówi się, czy lubią lody lub ciasto lub oba.
  2. Rozbijamy problem na kroki: Wyliczamy ile dzieci lubi lody, ile ciasto i ile oba.
  3. Wykonujemy każdy krok osobno: Z liczby 20 odróżniamy 12 dzieci, które lubią lody, 15, które lubią ciasto oraz 5 dzieci, które lubią oba.
  4. Ostateczny wniosek: Odpowiedź: 12 (lodami lubią tylko 12 dzieci).",Zero-Shot CoT,medium,INCORRECT,True
6,"W klasie jest 20 dzieci. 12 lubi lody, 15 ciasto, 5 oba. Ile tylko lody?",7,"1. Analyze the problem: There are 20 children in the class. Some like ice cream (lodki), some like cake (ciasto) and some like both. The task is to find out how many children only like ice cream.

  2. Break down the problem into smaller steps:
     - Identify the number of children who like ice cream (lody).
     - Identify the number of children who like cake (ciasto).
     - Identify the number of children who like both.
     - Subtract the number of children who like cake or both from the total number who like ice cream to find out how many only like ice cream.

  3. Solve each step:
     - We know that 12 children like ice cream (lody).
     - We know that 15 children like cake (ciasto).
     - We are given that 5 children like both.

  4. Combine the steps and draw a conclusion:
     - To find out how many children only like ice cream, we need to subtract those who like cake or both from those who like ice cream.
     - So, the number of children who only like ice cream is 12 (children who like ice cream) - 5 (children who like both) - 0 (since there are no children who only like cake).

Odpowiedź: 7",Few-Shot CoT,medium,CORRECT,True
7,"W sklepie są czerwone, zielone i żółte jabłka. Zielonych jest więcej niż czerwonych, ale mniej niż żółtych. Których jest najwięcej?",żółte,Odpowiedź: Żółtych (bo jest więcej zielonych i czerwonych niż żółtych),Zero-Shot,medium,INCORRECT,True
7,"W sklepie są czerwone, zielone i żółte jabłka. Zielonych jest więcej niż czerwonych, ale mniej niż żółtych. Których jest najwięcej?",żółte,"Odpowiedź: żółtych (lub, jeśli sklep ma też inne kolory jabłek poza wymienionymi trzema – czerwonymi, zielonymi i żółtymi – nie dane są pewne informacje aby powiedzieć jakiekolwiek inne kolory jabłek mają być najwięcej)",One-Shot,medium,CORRECT,True
7,"W sklepie są czerwone, zielone i żółte jabłka. Zielonych jest więcej niż czerwonych, ale mniej niż żółtych. Których jest najwięcej?",żółte,Odpowiedź: żółtych,Few-Shot,medium,CORRECT,True
7,"W sklepie są czerwone, zielone i żółte jabłka. Zielonych jest więcej niż czerwonych, ale mniej niż żółtych. Których jest najwięcej?",żółte,"1. Analiza problemu: Rozważam sklep, w którym są jabłka czerwone, zielone i żółte. Liczba każdego rodzaju nie jest podana, ale informują, że zielonych jest więcej niż czerwonych, ale mniej niż żółtych.

  2. Rozbiórka problemu na kroki:
      - Sprawdzenie liczby czerwonych jabłek (oznaczone C) i zielonych jabłek (Z).
      - Wymiaruję, ile może być żółtych jabłek (Ż), aby spełnić warunek zadania.

  3. Rozwiązanie kroków:
      - Zielonych jest więcej niż czerwonych (Z > C) i mniej niż żółtych, więc musi być mniej niż liczba sumy czerwonych i żółtych (C + Ż).
      - Liczba zielonych jest większa od liczby czerwonych, więc Z > C > 0.
      - Znając, że zielonych jest więcej niż czerwonych i mniej niż żółtych, to znaczy, że liczba żółtych musi być większa od rozróżnienia między liczbą czerwonych a zielonych (Ż > |Z - C|)
      - Liczba żółtych może wynosić tylko te wartości, które spełniają warunek powyższe.

  4. Ostateczny wniosek:
      - Zielonych jest więcej niż czerwonych, a mniej niż żółtych. Po rozważeniu teorii sytuacji i ustaleniu warunków możliwych do spełnienia, stwierdzam, że liczba żółtych musi być większa od 1 (Ż > 1), bo jeśli byłby równy 0 lub 1, to zielonych nie mogłyby być więcej niż czerwonych.
      - Nie udało się wyznaczyć dokładnie ilu jest każdego rodzaju jabłek, gdyż liczba żółtych jest dowolna z zakresu > 1. Jednak można stwierdzić, że liczba żółtych jest największa.
      - Odpowiedź: Najwięcej jest żółtych jabłek (Ż).",Zero-Shot CoT,medium,CORRECT,True
7,"W sklepie są czerwone, zielone i żółte jabłka. Zielonych jest więcej niż czerwonych, ale mniej niż żółtych. Których jest najwięcej?",żółte,"1. Analizuję zagadkę - znam, że sklep oferuje jabłka czerwone, zielone i żółte, a liczba zielonych jest większa niż czerwonych, ale mniejsza od żółtych.
  2. Rozbijam zagadkę na mniejsze kroki - muszę znaleźć liczbę poszczególnych jabłek w każdym kolorze.
  3. Po pierwsze, ograniczam moje rozważania do trzech możliwych sytuacji:
      a) żółtych jest najwięcej (zielonych więcej niż czerwonych, ale mniej niż żółtych).
      b) zielonych jest najwięcej (zielone więcej niż czerwone i mniej niż żółte).
      c) czerwonych jest najwięcej (zielone więcej niż czerwone, ale mniej niż żółte).
  4. W sytuacji a) liczba żółtych jest największa, a zielonych i czerwonych jest mniej, więc nie ma możliwości tego rozwiązania.
  5. Dokładam próby w sytuacji b), ponieważ jeśli liczba zielonych jest największa, to musi być ono co najmniej równe żółtym i większe niż czerwone.
      a) W sytuacji, gdyby zielonych miało tyle samo jak żółtych, to wtedy musiałoby się stać o tyle więcej niż czerwonych. Jednak w ten sposób liczba żółtych nie byłaby mniejsza od zielonych i czerwonych (wobec czego sytuacja ta jest niemożliwa).
      b) W sytuacji, gdyby zielonych miało tyle samo jak czerwone, to wtedy liczba żółtych musiała być o tyle większa, aby zapewnić, że jest ona mniejsza od zielonych i czerwonych (wobec czego sytuacja ta też jest niemożliwa).
      c) W sytuacji, gdyby liczba zielonych była większa niż żółtych i czerwonych razem, to wtedy musiałoby się stać o tyle więcej żółtych, aby spełnić warunek: ""mniej niż żółtych"". Jednak jeśli liczba żółtych była większa od czerwonych, to nie spełniałabyby ona warunku ""zielonych jest więcej niż czerwonych"" (wobec czego sytuacja ta również jest niemożliwa).
  6. W sytuacji c) liczba zielonych musiała być o tyle większa od liczby żółtych i czerwonych, aby spełnić warunek ""zielone jest więcej niż czerwone"". Jednak jeśli byłyby one równe, to nie spełniałaby ona warunku ""mniej niż żółtych"". Wobec tego sytuacja ta nie może być prawdziwa.
  7. W związku z tym, że wszystkie próby są niemożliwe, to musi się stać tak, że liczba czerwonych jest największa spośród trzech kolorów (jeśli żadna inna sytuacja nie była prawdziwa, to może tylko ona zostać).
  8. Wobec tego odpowiedź na zagadkę brzmi następująco: Czerwonych jest najwięcej.",Few-Shot CoT,medium,INCORRECT,True
8,Rodzice i 3 dzieci. Ilu członków rodziny?,5,"Rodzice ma po dwóch rękawach, a każde dziecko ma po jednej nogawce. W całej rodzinie jest to w sumie 6 kończyn. Jedna z rodziców jest matka i posiada jeszcze jedną kończynę, z powodu ciąży. Odpowiedź: Rodzina liczy 5 osób.",Zero-Shot,medium,INCORRECT,True
8,Rodzice i 3 dzieci. Ilu członków rodziny?,5,Odpowiedź: Rodzina liczy 5 osób (rodzice i trzy dzieci).,One-Shot,medium,CORRECT,True
8,Rodzice i 3 dzieci. Ilu członków rodziny?,5,"Rodzice i dzieci tworzą rodzinę, więc liczba rodziców plus ilu dzieci to wszystkie członkowie rodziny. Jeśli rodzice są dwójką, to ilu dzieci trzeba odpowiednio dodawać? Odpowiedź: 3

Natomiast jeśli chodzi o liczbę osób w przypadku tylko rodziców i dzieci - to łącznie jest to tyle samo jak liczba rodziców. A jedno z informacji branych pod uwagę brzmiało, że rodzice są dwójką, więc ilu członków mamy przed sobą? Odpowiedź: 2 (dzieci nie liczą się, gdyż chodzi o rodzinę)",Few-Shot,medium,INCORRECT,True
8,Rodzice i 3 dzieci. Ilu członków rodziny?,5,"1. Analizujemy problem: Rodzice to dwie osoby, a dzieci to trzy osoby.

  2. Rozbijamy problem na mniejsze kroki: liczymy rodziców i dzieci oddzielnie.

  3. Rozwiązujemy każdy krok osobno: rodziców jest 2, a dzieci 3.

  4. Wyciągamy ostateczny wniosek: Wszystkie członkiem rodziny są rodzice i dzieci, licząc ich razem maśmy 2+3=5 osób.

Odpowiedź: Rodzina składa się z pięciu osób.",Zero-Shot CoT,medium,CORRECT,True
8,Rodzice i 3 dzieci. Ilu członków rodziny?,5,"1. Analiza problemu: Problem dotyczy liczb ludzkich w grupie, nazwy nie są potrzebne.

  2. Podział na mniejsze kroki: Znamy, że rodzice (odpowiedzialni za utworzenie rodziny) mają 3 dzieci.

  3. Rozwiązanie poszczególnych kroków:
     - W grupie są rodzice.
     - Ponieważ rodzice mają 3 dzieci, to liczba dzieci jest równa liczbie członków rodziny oprócz rodziców.
     - Wiemy, że w grupie są także rodzice, a jednocześnie mówimy, że rodzina składa się z 3 dzieci, to liczba rodziców jest równa 2.

  4. Ostateczny wniosek: Liczba członków rodziny to suma liczby dzieci i liczby rodziców, czyli 3 (dzieci) + 2 (rodzice).

Odpowiedź: liczba członków rodziny: 5",Few-Shot CoT,medium,CORRECT,True
9,Basia kupiła 3 ciastka po 2 zł. Ile zapłaciła?,6,Odpowiedź: Basia zapłaciła 6 złotych.,Zero-Shot,easy,CORRECT,True
9,Basia kupiła 3 ciastka po 2 zł. Ile zapłaciła?,6,Odpowiedź: 6 zł,One-Shot,easy,CORRECT,True
9,Basia kupiła 3 ciastka po 2 zł. Ile zapłaciła?,6,Odpowiedź: 6 zł,Few-Shot,easy,CORRECT,True
